data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Sardegna,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,1,0.0,0
2020-02-25,Sardegna,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0
2020-02-26,Sardegna,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0
2020-02-27,Sardegna,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0
2020-02-28,Sardegna,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0
2020-02-29,Sardegna,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0.0,0,0.0,0
2020-03-01,Sardegna,0,0,0,0,0,0,0,0,0,0.0,0.0,0,29,0.0,28,0.0,0
2020-03-02,Sardegna,0,0,0,0,0,0,0,0,0,0.0,0.0,0,29,0.0,0,0.0,0
2020-03-03,Sardegna,1,0,1,0,1,1,1,0,0,0.0,0.0,1,29,0.0,0,0.0,0
2020-03-04,Sardegna,1,0,1,1,2,1,1,0,0,0.0,0.0,2,42,0.0,13,0.0,0
2020-03-05,Sardegna,2,0,2,0,2,0,0,0,0,0.0,0.0,2,50,0.0,8,0.0,0
2020-03-06,Sardegna,2,0,2,3,5,3,3,0,0,0.0,0.0,5,99,0.0,49,0.0,0
2020-03-07,Sardegna,2,0,2,3,5,0,0,0,0,0.0,0.0,5,99,0.0,0,0.0,0
2020-03-08,Sardegna,5,0,5,6,11,6,6,0,0,0.0,0.0,11,149,0.0,50,0.0,0
2020-03-09,Sardegna,8,0,8,11,19,8,8,0,0,0.0,0.0,19,185,0.0,36,0.0,0
2020-03-10,Sardegna,9,0,9,11,20,1,1,0,0,0.0,0.0,20,204,0.0,19,0.0,0
2020-03-11,Sardegna,10,0,10,27,37,17,17,0,0,0.0,0.0,37,283,0.0,79,0.0,0
2020-03-12,Sardegna,12,0,12,27,39,2,2,0,0,0.0,0.0,39,302,0.0,19,0.0,0
2020-03-13,Sardegna,12,0,12,31,43,4,4,0,0,0.0,0.0,43,504,0.0,202,0.0,0
2020-03-14,Sardegna,14,0,14,33,47,4,4,0,0,0.0,0.0,47,530,0.0,26,0.0,0
2020-03-15,Sardegna,16,0,16,59,75,28,30,0,2,0.0,0.0,77,613,0.0,83,0.0,2
2020-03-16,Sardegna,39,0,39,66,105,30,30,0,2,0.0,0.0,107,797,0.0,184,0.0,0
2020-03-17,Sardegna,36,4,40,75,115,10,10,0,2,0.0,0.0,117,1003,0.0,206,0.0,0
2020-03-18,Sardegna,42,7,49,83,132,17,17,0,2,0.0,0.0,134,1135,0.0,132,0.0,0
2020-03-19,Sardegna,43,9,52,152,204,72,72,0,2,0.0,0.0,206,1334,0.0,199,0.0,0
2020-03-20,Sardegna,56,15,71,217,288,84,87,3,2,0.0,0.0,293,1912,0.0,578,0.0,0
2020-03-21,Sardegna,65,16,81,240,321,33,37,5,4,0.0,0.0,330,2297,0.0,385,0.0,2
2020-03-22,Sardegna,67,16,83,244,327,6,9,5,7,0.0,0.0,339,2402,0.0,105,0.0,3
2020-03-23,Sardegna,76,18,94,249,343,16,20,5,11,0.0,0.0,359,2568,0.0,166,0.0,4
2020-03-24,Sardegna,80,19,99,296,395,52,62,11,15,0.0,0.0,421,2859,0.0,291,0.0,4
